Material,Sample no.,Temperature,Printing Speed,Deposition Thickness,Line,Ra,Rz
PLA,1,220,75,0.1,1,8.826,43.981
PLA,1,220,75,0.1,2,9.339,49.584
PLA,1,220,75,0.1,3,10,52.318
PLA,1,220,75,0.1,4,9.053,49.593
PLA,1,220,75,0.1,5,9.706,43.557
PLA,1,220,75,0.1,6,9.093,46.603
PLA,1,220,75,0.1,7,8.574,46.649
PLA,1,220,75,0.1,8,9.17,48.745
PLA,1,220,75,0.1,9,8.897,46.731
PLA,1,220,75,0.1,10,10.562,56.594
PLA,2,220,100,0.15,1,11.614,59.047
PLA,2,220,100,0.15,2,12.744,66.925
PLA,2,220,100,0.15,3,12.517,70.732
PLA,2,220,100,0.15,4,19.357,86.342
PLA,2,220,100,0.15,5,17.75,85.551
PLA,2,220,100,0.15,6,16.865,82.411
PLA,2,220,100,0.15,7,13.819,71.803
PLA,2,220,100,0.15,8,13.317,70.743
PLA,2,220,100,0.15,9,11.789,62.116
PLA,2,220,100,0.15,10,12.012,62.134
PLA,3,220,125,0.2,1,16.13,79.969
PLA,3,220,125,0.2,2,18.226,84.954
PLA,3,220,125,0.2,3,14.824,84.321
PLA,3,220,125,0.2,4,17.193,84.799
PLA,3,220,125,0.2,5,15.353,85.861
PLA,3,220,125,0.2,6,17.384,88.659
PLA,3,220,125,0.2,7,15.929,77.648
PLA,3,220,125,0.2,8,14.781,80.437
PLA,3,220,125,0.2,9,15.553,73.553
PLA,3,220,125,0.2,10,14.38,72.06
PLA,4,230,75,0.15,1,15.026,74.79
PLA,4,230,75,0.15,2,15.199,75.055
PLA,4,230,75,0.15,3,15.766,77.946
PLA,4,230,75,0.15,4,12.452,63.063
PLA,4,230,75,0.15,5,14.953,72.792
PLA,4,230,75,0.15,6,13.766,70.826
PLA,4,230,75,0.15,7,13.424,67.664
PLA,4,230,75,0.15,8,13.453,69.261
PLA,4,230,75,0.15,9,13.045,64.354
PLA,4,230,75,0.15,10,12.271,69.93
PLA,5,230,100,0.2,1,17.075,83.882
PLA,5,230,100,0.2,2,16.685,79.629
PLA,5,230,100,0.2,3,15.772,80.187
PLA,5,230,100,0.2,4,17.227,87.245
PLA,5,230,100,0.2,5,18.636,85.306
PLA,5,230,100,0.2,6,15.945,77.096
PLA,5,230,100,0.2,7,18.396,86.49
PLA,5,230,100,0.2,8,17.99,81.798
PLA,5,230,100,0.2,9,19.661,101.159
PLA,5,230,100,0.2,10,17.515,81.833
PLA,6,230,125,0.1,1,11.382,57.423
PLA,6,230,125,0.1,2,11.427,58.849
PLA,6,230,125,0.1,3,11.658,56.19
PLA,6,230,125,0.1,4,11.603,64.05
PLA,6,230,125,0.1,5,11.693,59.764
PLA,6,230,125,0.1,6,10.794,56.486
PLA,6,230,125,0.1,7,11.24,61.363
PLA,6,230,125,0.1,8,12.186,65.112
PLA,6,230,125,0.1,9,11.939,60.545
PLA,6,230,125,0.1,10,12.579,59.562
PLA,7,240,75,0.2,1,16.2,80.1
